Column1,Column2,Column 3,Column 4
Cross-Sell Products,クロスセル商品,module,Magento_Catalog
Cross-sells,クロスセル,module,Magento_Catalog
Currency,通貨,module,Magento_Backend
"Currency ""%1"" is used as %2 in %3.","通貨 ""%1"" %2として%3で使われています。",module,Magento_Config
Currency Amount,通貨換算額,,
Currency Conversion required to cover negative balance,通貨変換は残高マイナスをカバーすることが必須です,module,Magento_Paypal
Currency Options,通貨オプション,module,Magento_Directory
Currency Rates,通貨レート,module,Magento_CurrencySymbol
Currency Rates Saved,為替レート保存,,
Currency Setup,通貨セットアップ,module,Magento_Directory
Currency Setup Section,通貨設定セクション,module,Magento_Config
Currency Symbols,現在の通貨記号,module,Magento_CurrencySymbol
Currency Update Warnings,通貨更新警報,module,Magento_Directory
Currency doesn't match.,通貨が一致しません。,,
Currency to Points,通貨からポイントへの換算レート,,
Current Configuration Scope:,現在の設定スコープ:,module,Magento_Config
Current Month,当月,module,Magento_Backend
Current Month Starts,今月のスタートから,module,Magento_Reports
Current Password,現在のパスワード,module,Magento_Customer
Current Status: %1<br/>,現在のステータス: %1<br/>,module,Magento_Sales
Current User Identity Verification,現在のユーザー証明認証,module,Magento_Integration
Current Variations,現在のバリエーション,module,Magento_ConfigurableProduct
Current exchange rates:,現在の換算レート:,,
Current store is not active.,現在のストアはアクティブではありません,module,Magento_Store
Currently Used For,現在使用されている,module,Magento_Email
Custom,カスタム,module,Magento_Integration
Custom Action,カスタムアクション,module,Magento_ImportExport
Custom Admin Events,カスタム管理イベント,,
Custom Admin Path,カスタム管理者パス,module,Magento_Backend
Custom Admin URL,カスタム管理者URL,module,Magento_Backend
Custom CSS,カスタム CSS,module,Magento_Theme
Custom Configurable Cron Jobs,カスタム設定可能なCronジョブ,,
Custom Crontab Events,カスタムCrontabイベント,,
Custom Design,カスタムデザイン,module,Magento_Backend
Custom Design Update,カスタムデザインの更新,module,Magento_Cms
Custom Doc Events,コアDocイベント,,
Custom Email 1,カスタムメールアドレス１,module,Magento_Backend
Custom Email 2,カスタムメールアドレス２,module,Magento_Backend
Custom Endpoint Hostname or IP-Address,カスタムエンドポイントホスト名かIPアドレス,module,Magento_Paypal
Custom Frontend Events,コアフロントエンドイベント,,
Custom Global Cron Jobs,コアグローバルCronジョブ,,
Custom Global Events,コアグローバルイベント,,
Custom Layout,カスタムレイアウト,module,Magento_Cms
Custom Layouts,カスタムレイアウト,module,Magento_Widget
Custom Options,カスタムオプション,module,Magento_Catalog
Custom Path,カスタムパス,module,Magento_Paypal
Custom Price,カスタム価格,module,Magento_Sales
Custom REST Events,コアRESTイベント,,
Custom SOAP Events,コアSOAPイベント,,
Custom Theme,カスタムテーマ,module,Magento_Cms
Custom Types,カスタムタイプ,,
Custom Value,カスタム値,module,Magento_Shipping
"Custom Variable ""%1""","カスタム変数 ""%1""",module,Magento_Variable
Custom Variables,カスタム変数,module,Magento_Variable
Custom design from,カスタムデザイン元,module,Magento_Cms
Custom design to,カスタムデザイン先,module,Magento_Cms
Custom options have different types.,カスタムオプションには異なるタイプがあります。,module,Magento_CatalogImportExport
Custom options let customers choose the product variations they want.,カスタムオプションは、お客様が欲しい商品のバリエーションを選択できる。,module,Magento_Catalog
"Custom options with price type ""percent"" is not available for configurable product.","コンフィグ商品では、価格タイプ ""パーセント""のカスタムオプションは使用できません。",module,Magento_ConfigurableProduct
Custom price if available,利用できればカスタム価格,module,Magento_Tax
Custom storage message,カスタムストーレッジメッセージ,module,Magento_UrlRewrite
Customer,会員,module,Magento_Backend
Customer #%1.,会員 #%1.,,
Customer %1,会員 %1,,
Customer %name has left a new comment:,会員%nameは新しいコメントを残しました:,,
Customer Account Address,会員アカウントアドレス,,
Customer Account Edit,会員アカウントの編集,,
Customer Address,会員住所,,
Customer Address %1,会員の住所 %1,,
Customer Address %1 Default %2 Address,会員アドレス%1デフォルト%2アドレス,,
Customer Address Attributes,Customer Address Attributes,,
Customer Address Eav Attributes,会員アドレス属性,,
Customer Address Registration,会員の住所登録,,
Customer Attributes,会員の属性,,
Customer Configuration,会員設定,module,Magento_Customer
Customer Eav Attributes,会員のEav属性,,
Customer Email,カスタムメール,module,Magento_Sales
Customer First Name,会員名,module,Magento_Newsletter
Customer Grid,会員グリッド,module,Magento_Customer
Customer Group,会員グループ,module,Magento_Catalog
Customer Group already exists.,会員グループは既に存在します,module,Magento_Customer
Customer Group:,会員グループ:,module,Magento_Customer
Customer Groups,会員グループ,module,Magento_Customer
Customer ID,会員ID,,
Customer Id,会員 Id,,
Customer Information,会員情報,module,Magento_Customer
Customer Invitation Email Sender,会員招待メール送信者,,
Customer Invitation Email Template,会員招待メールテンプレート,,
Customer Invitations,会員招待,,
Customer Last Name,会員姓,module,Magento_Newsletter
Customer Login,ログイン,module,Magento_Customer
Customer Name,会員名,module,Magento_Sales
Customer Name: %1,会員名: %1,module,Magento_Sales
Customer Notification,会員通知,module,Magento_Customer
Customer Order Status Notification,会員注文状態通知,module,Magento_Sales
Customer Packaging,お客様のパッケージ,module,Magento_Ups
Customer Registration,会員登録,,
Customer Reviews,会員レビュー,module,Magento_Review
Customer Reviews Report,会員レビューレポート,module,Magento_Reports
Customer Segment,会員セグメント,,
Customer Segment Report,会員セグメントレポート,,
Customer Segment Report '%1',会員セグメント レポート '%1',,
Customer Segments,会員セグメント,,
Customer Segments Report,会員区分レポート,,
Customer Service,会員サービス,theme,frontend/Magento/luma
Customer Shopping Carts,ショッピングカート,module,Magento_Reports
Customer Since,会員作成日,module,Magento_Customer
Customer Store Credit Amount %1 %2:,会員店舗クレジット額 %1 %2:,,
Customer Supplied Package,カスタマーサプライドパッケージ,module,Magento_Ups
Customer Support,会員サポート,module,Magento_Backend
Customer Tax Class,会員課税区分,module,Magento_Tax
Customer Tax Classes,会員税区分,,
Customer View,フロントエンドを表示,module,Magento_Backend
Customer Wish List Report,会員のお気に入り一覧のレポート,,
Customer address id column is not specified,会員住所のid列が指定されていません。,module,Magento_CustomerImportExport
Customer could not be deleted.,会員は削除できませんでした。,module,Magento_Customer
Customer earned promotion extra %1.,会員はプロモーションを余分に%1獲得しました。,,
Customer has been unlocked successfully.,会員のロックが解除されました。,module,Magento_Customer
Customer is %1 to newsletter.,会員はメールマガジンの%1です。,,
Customer is already registered,会員は既に登録済みです,module,Magento_Checkout
Customer notified,会員への通知,,
"Customer will stay on the current page if ""No"" is selected.","もし、""いいえ""が選択された場合、会員は現在のページから移動しません。",module,Magento_Customer
Customer's Activities,会員の動向,module,Magento_Sales
Customer's Wish List Report,会員のお気に入り一覧のレポート,,
Customer:,会員:,module,Magento_Checkout
Customers,会員,module,Magento_Backend
Customers May See Reward Points History,会員はポイント履歴を閲覧可能,,
Customers Now Online,現在オンラインの会員,module,Magento_Customer
Customers Report,会員のレポート,module,Magento_Reports
Customers Reviews,会員のレビュー,module,Magento_Reports
Customers Section,会員セクション,module,Magento_Customer
Customers by Number of Orders,会員ごとの注文件数,module,Magento_Reports
Customers by Orders Total,会員ごとの購入合計,module,Magento_Reports
Customers by number of orders,会員ごとの注文件数,module,Magento_Reports
Customers that have Wish List: %1,お気入りリストを持つ会員: %1,module,Magento_Reports
Customizable Options,カスタムオプション,module,Magento_Catalog
Customize %1,%1 をカスタマイズ,module,Magento_Bundle
Customize and Add to Cart,カスタマイズしてカートに追加,module,Magento_Bundle
Customize and Add to Gift Registry,構成を変更してギフトレジストリに追加する,,
Customs Value,カスタム値,module,Magento_Shipping
Cybersource,サイバーソース,,
DB Dump,DB ダンプ,,
DB exception,DB例外,module,Magento_Checkout
DHL,DHL,module,Magento_Dhl
DHL service is not available at %s date,DHLのサービスは、%sの日付では利用できません。,module,Magento_Dhl
Daily,毎日,module,Magento_Cron
Dash Every X Characters,X文字ごとにハイフンを入れる,module,Magento_SalesRule
Dashboard,ダッシュボード,module,Magento_Backend
Data,データ,,
Data Collector,データコレクタ,,
Data Transfer,データ転送,module,Magento_Backend
Data Type for Saving in Database,データベースに保存するデータタイプ,module,Magento_Catalog
Data from app/etc/env.php,app/etc/env.php　からのデータ,,
Data key is missing: %1,データキーがありません: %1,module,Magento_GoogleOptimizer
Data saving problem,データ保存問題,module,Magento_Multishipping
Data validation failed. Please fix the following errors and upload the file again.,データの検証に失敗しました。次のエラーを修正し、ファイルを再度アップロードしてください。,module,Magento_ImportExport
Data was imported by %1,%1でデータをインポートしました,,
Database,データベース,module,Magento_Backup
Database Backup,データベースバックアップ,module,Magento_Backup
Database DDL operations,データベースDDLキャッシュ,module,Magento_Store
Database and Media,データベースとメディア,module,Magento_Backup
Database and Media Backup,データベースとメディアバックアップ,module,Magento_Backup
Date,日付,module,Magento_Downloadable
Date & Time,日付時刻,,
Date & Time Custom Options,日付と時間のオプション,module,Magento_Catalog
Date & Time:,日時:,module,Magento_Checkout
Date Added,登録日,module,Magento_AdminNotification
Date Created (days ago),作成日（日前）,,
Date Fields Order,日付入力欄の形式,module,Magento_Catalog
Date Format,日付フォーマット,,
Date From,開始日,module,Magento_Backend
Date Generated,発生日,,
Date Modified (days ago),修正日（日前）,,
Date Range,日付の範囲,,
Date Range %1 within %2,日付範囲%1内の%2,,
Date Ranges,日付の範囲,,
Date Requested,依頼日付,,
Date To,終了日,module,Magento_Backend
Date Used,期間の指定,module,Magento_Reports
Date of Birth,生年月日,module,Magento_Customer
Date selector,日付選択,module,Magento_Backend
Datetime,日時,module,Magento_Catalog
Day,日,module,Magento_Catalog
Days,日,,
Days in Wish List,お気に入り一覧内日付,module,Magento_Customer
Debit,デビット,module,Magento_Paypal
Debit Card Cash Back,デビットカードキャッシュバック,module,Magento_Paypal
Debit Card Transaction,デビットカードトランザクション,module,Magento_Paypal
Debit or Credit,デビットかクレジット,module,Magento_Paypal
Debug,デバッグ,module,Magento_Authorizenet
Debug Mode,デバッグモード,module,Magento_Paypal
Decimal,10進数,module,Magento_Catalog
Decimal Number,10進数,module,Magento_Eav
Decision,決定,,
Declare attribute value saving scope.,属性の値を保存するスコープを定義します。,module,Magento_Catalog
Decrease Stock When Order is Placed,注文時に在庫を減らす,module,Magento_CatalogInventory
Deduct Reward Points from Refund Amount Automatically,自動的に払い戻し額からポイントを差し引く,,
Default,標準,module,Magento_Bundle
"Default ""What's This"" Text Message","標準の ""これは何ですか"" メッセージ",module,Magento_Msrp
Default Address,標準住所,,
Default Addresses,標準住所,module,Magento_Customer
Default Billing,標準の請求先,module,Magento_Multishipping
Default Billing Address,標準ご連絡先住所,module,Magento_Customer
Default Config,標準の設定,module,Magento_Config
Default Content,標準コンテンツ,,
Default Cookie Settings,デフォルトのCookie設定,module,Magento_Cookie
Default Country,標準の国,module,Magento_Backend
Default Customer Group from System Configuration,システム設定の標準会員グループ,,
Default Display Currency,標準表示通貨,module,Magento_Directory
Default EAV Form,標準EAVフォーム,,
Default Email Domain,標準のメールアドレスドメイン,module,Magento_Customer
Default Group,標準のグループ,module,Magento_Customer
Default Label,標準のラベル,module,Magento_Eav
Default Layout for Hierarchy Menu,ヒエラルキーメニューの標準レイアウト,,
Default Link Title,標準リンクタイトル,module,Magento_Downloadable
Default Maximum Number of Downloads,ダウンロードの初期最大数,module,Magento_Downloadable
Default No-route URL,標準の404ページURL,module,Magento_Backend
Default Pages,標準のページ,module,Magento_Backend
Default Popup Text Message,標準のポップアップメッセージ,module,Magento_Msrp
Default Post Code,標準の郵便番号,module,Magento_Tax
Default Price,標準の価格,module,Magento_Catalog
Default Price Navigation Step,既定の価格ナビゲーションステップ,module,Magento_LayeredNavigation
Default Price for Printed Card,標準のギフトカードの額面,,
Default Product Listing Sort by does not exist in Available Product Listing Sort By.,標準の商品リスト表示順は利用できる候補に存在していません。,module,Magento_Catalog
Default Product Price,Default Product Price,,
Default Product Sorting,デフォルトの商品分類,module,Magento_Catalog
Default Qty,標準個数,module,Magento_GroupedProduct
Default Quantity,デフォルト数量,module,Magento_Bundle
Default Recently Compared Products Count,標準の最近比較された商品点数,module,Magento_Reports
Default Recently Viewed Products Count,標準の最近閲覧した商品点数,module,Magento_Reports
Default Response Charset,標準レスポンス文字コード,module,Magento_Webapi
Default Robots,標準のrobots.txt,module,Magento_Theme
Default Rule Label for All Store Views,全てのストアビューに対する標準クーポン名,module,Magento_SalesRule
Default Sample Title,標準サンプルタイトル,module,Magento_Downloadable
Default Shipping,標準の配送方法,module,Magento_Multishipping
Default Shipping Address,標準配送先住所,module,Magento_Customer
Default State,標準の都道府県,module,Magento_Tax
Default Status,標準ステータス,module,Magento_Sales
Default Store,標準の店舗,module,Magento_Backend
Default Store View,標準のストアビュー,module,Magento_Backend
Default Tax Class for Customer,デフォルトの会員のための税クラス,module,Magento_Tax
Default Tax Class for Product,デフォルトの商品のための税クラス,module,Magento_Tax
Default Tax Destination Calculation,標準税計算対象地域,module,Magento_Tax
Default Template,標準テンプレート,module,Magento_Sales
Default Theme,既定のテーマ,module,Magento_Backend
Default Title,標準タイトル,module,Magento_Bundle
Default Titles and Description,標準のタイトルと概要,,
Default Value,標準の値,module,Magento_Catalog
Default Value for Disable Automatic Group Changes Based on VAT ID,VAT IDに基づくグループ自動割り当てを無効にする,module,Magento_Customer
Default Values,標準の値,module,Magento_Catalog
Default View,デフォルトビュー,,
Default Web URL,標準ウェブURL,module,Magento_Backend
Default Welcome Email,標準の挨拶メール,module,Magento_Customer
Default Welcome Email Without Password,デフォルトのパスワード無しようこそメール,module,Magento_Customer
"Default display currency ""%1"" is not available in allowed currencies.","デフォルト表示通貨 ""%1"" 許可された通貨内で有効ではありません。",module,Magento_Config
Default from System Configuration,システム設定からの標準,,
Default label,デフォルトラベル,module,Magento_Eav
Default scope,標準のスコープ,module,Magento_Config
Default store is inactive,デフォルトストアは無効です,module,Magento_Store
Default welcome msg!,標準のウェルカムメッセージ!,module,Magento_Theme
Defines this node as Chapter/Section,このノードをChapter / Sectionとして定義します。,,
Defines whether a link to My Account,マイアカウントへのリンクであるかどうかを定義する,module,Magento_Widget
Defines whether a link to My Account &gt; Order by SKU page will be displayed on the widget,マイアカウントへのリンクを定義します。  &gt; SKUページによる注文がウィジェットに表示されます,,
Delay in minutes between password reset requests. Use 0 to disable.,パスワードリセットリクエストを再実行できる間隔を指定します。0の場合は無効です。,module,Magento_Security
Delete,削除,module,Magento_Backend
"Delete ""%1""","削除 ""%1""",,
Delete %1,削除 %1,module,Magento_Backend
Delete %1 '%2',削除 %1 '%2',module,Magento_Backend
Delete Address,住所の削除,module,Magento_Customer
Delete Amount,額を削除,,
Delete Attribute,属性を削除,module,Magento_Catalog
Delete Block,ブロックの削除,module,Magento_Cms
Delete Condition,条件の削除,module,Magento_CheckoutAgreements
Delete Current Hierarchy,現在の階層の削除,,
Delete Custom Option,カスタムオプション削除,module,Magento_Catalog
Delete Customer,会員の削除,module,Magento_Customer
Delete Customer Group,会員グループの削除,module,Magento_Customer
Delete Entities,エンティティ削除,module,Magento_ImportExport
Delete File,ファイルを削除,module,Magento_Cms
Delete Folder,フォルダを削除,module,Magento_Cms
Delete Image,画像を削除,module,Magento_Catalog
Delete Line,行を削除,,
Delete Multiple Hierarchies,複数の階層を削除する,,
Delete Option,オプションの削除,module,Magento_Bundle
Delete Orphan Balances,孤立した残高を削除,,
Delete Orphan Points,孤立しているポイントを削除する,,
Delete Package,パッケージ削除,module,Magento_Shipping
Delete Page,ページの削除,module,Magento_Cms
Delete Rate,レートの削除,module,Magento_Tax
Delete Rating,評価の削除,module,Magento_Review
Delete Registry,レジストリの削除,,
Delete Review,レビュー削除,module,Magento_Review
Delete Revision and Version,リビジョンとバージョンを削除,,
Delete Role,権限の削除,module,Magento_User
Delete Row,行の削除,module,Magento_Catalog
Delete Rule,ルールの削除,module,Magento_CatalogRule
Delete Search,検索の削除,module,Magento_Search
Delete Selected Group,選択したグループの削除,module,Magento_Catalog
Delete Selected Problems,選択した問題を削除する,module,Magento_Newsletter
Delete Store,店舗を削除,module,Magento_Backend
Delete Store View,ストアビューを削除,module,Magento_Backend
Delete Synonym Group,同義語グループの削除,module,Magento_Search
Delete Tax,税削除,module,Magento_Weee
Delete Template,テンプレートの削除,module,Magento_Email
Delete Tier,階層の削除,module,Magento_Catalog
Delete Update,更新を削除,,
Delete User,ユーザーの削除,module,Magento_User
Delete Web Site,ウェブサイトを削除,module,Magento_Backend
Delete Wish List,お気に入り一覧を削除,,
Delete image,画像削除,module,Magento_Catalog
Delete items,商品削除,module,Magento_Catalog
Delete selected items?,選択したアイテムを削除しますか?,module,Magento_Catalog
Delete the Update,更新を削除,,
Delete video,ビデオ削除,module,Magento_ProductVideo
Deleted Stores,ストアの削除,module,Magento_Customer
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.",%1 を削除しても %1 (カテゴリー、商品等)に付随する情報は消去できません、しかし %1 は復元することができません。データベースのバックアップを %1 の削除前に作成することをお勧めします。,module,Magento_Backend
Deletion failure. Please try again.,削除に失敗しました。もう一度お試しください。,module,Magento_Vault
Delivered on:,配達経由:,module,Magento_Shipping
Delivery Confirmation,配送確認,module,Magento_Ups
Denied,拒否済,,
Denied the payment online,オンライン支払を拒否,module,Magento_Sales
Deny,否定,,
Deny Payment,決済拒否,module,Magento_Sales
Depends on design theme.,デザインテーマに依存,module,Magento_Catalog
Deployment configuration file is not writable.,デプロイ設定ファイルは書き込み可能ではありません。,module,Magento_EncryptionKey
Depth,奥行き,module,Magento_Dhl
Description,概要,module,Magento_Backend
Description Message,概要メッセージ,module,Magento_Sales
Deselect All,全ての選択を外す,module,Magento_ConfigurableProduct
Deselect All on This Page,このページの全ての選択を外す,module,Magento_Ui
Design,デザイン,module,Magento_Backend
Design Change,デザイン変更,module,Magento_Backend
Design Config Grid,デザイン設定グリッド,module,Magento_Theme
Design Configuration,デザイン設定,module,Magento_Theme
Design Package/Theme,デザインパッケージ/テーマ,module,Magento_Widget
Design Rule,デザインルール,module,Magento_Backend
Design Section,デザインセクション,module,Magento_Config
Design Theme,デザインテーマ,module,Magento_Config
Design params must be set before calling this method,このメソッドを呼ぶ前にデザインパラメーターは設定されてなければならない,module,Magento_Email
Destination Type,対象種別,module,Magento_Ups
Destination file is not writable,保存先ファイルに書き込み権限がありません,module,Magento_ImportExport
Destination folder is not writable or does not exists.,宛先フォルダが書き込み可能でないか、存在しません。,,
Detail,詳細,module,Magento_Reports
Detailed Rating,評価の詳細,module,Magento_Review
Details,詳細,module,Magento_Catalog
Details for %1 #%2,%1 #%2 の詳細,module,Magento_Sales
Determines which products are 'low stock',どの商品が'低在庫'であるかを判断する,,
Developer,開発者向け,module,Magento_Backend
Developer Client Restrictions,開発者クライアント制限,module,Magento_Developer
Developer Section,開発者セクション,module,Magento_Config
Development,開発,module,Magento_Shipping
Dictionary (Translation on Storefront side),辞書（ストアフロント側で翻訳）,module,Magento_Translation
Direct,ダイレクト,module,Magento_Fedex
Direct Payment API,直払いAPI,module,Magento_Paypal
Direction,方向,,
Directory %1 is not under storage root path.,ディレクトリー %1 はストレージルートパスの下にありません。,module,Magento_Cms
Directory %s should have writable & readable permissions,ディレクトリ%sには書き込みと読み込み権限が必要です,,
Disable,無効,module,Magento_Catalog
Disable Automatic Group Change Based on VAT ID,VAT IDによる会員グループの自動変更を無効にする,module,Magento_Customer
Disable Email Communications,メール連絡を無効にする,module,Magento_Backend
Disable Guest Checkout if Cart Contains Downloadable Items,カートにダウンロード可能な商品が含まれている場合、ゲストチェックアウトを無効にする,module,Magento_Downloadable
Disable Modules Output,無効なモジュール出力,module,Magento_Backend
Disable Product,商品を無効にする,module,Magento_ConfigurableProduct
Disabled,無効,module,Magento_Backend
Disabled Completely,完全に無効にする,module,Magento_Cms
Disabled by Default,標準で無効,module,Magento_Cms
Disallow Catalog Search By,商品検索を不許可,,
Disassociated Products,分離された商品,module,Magento_ConfigurableProduct
Disc,黒丸,,
Discard Invitation,招待の破棄,,
Discard Rate,レートの破棄,,
Discard Selected,選択を破棄,,
Discard subsequent rules,このルールより優先度の低いルールの適用を行わない,,
Discarded,破棄済,,
Discount,値引き,module,Magento_Payment
Discount (%1),ディスカウント (%1),module,Magento_Sales
Discount Amount,割引価格,module,Magento_Bundle
Discount Qty Step (Buy X),ディスカウント対象個数の段階 (X を買った場合),module,Magento_SalesRule
Discount amount is applied to subtotal and shipping amount separately,割引額は小計と送料に別々に適用されます。,module,Magento_SalesRule
Discount amount is applied to subtotal only,割引額は小計のみに適用,module,Magento_SalesRule
Discount value should be 0 or greater.,ディスカウント値は0かそれ以上でなければなりません。,module,Magento_CatalogRule
Display,表示,module,Magento_Paypal
Display Actual Price,実績価格を表示,module,Magento_Msrp
Display Cart Summary,カートの概要を表示,module,Magento_Checkout
Display Countdown Ticker On,カウントダウンティッカー表示位置,,
Display Demo Store Notice,デモストア通知の表示,module,Magento_Theme
Display Express Checkout in the Payment Information step,支払情報ステップでエクスプレスチェックアウトを照会する,module,Magento_Paypal
Display Full Tax Summary,課税額合計を表示する,module,Magento_Tax
Display Gift Wrapping Prices,ギフトラッピング価格を表示,,
Display Order ID in Header,ヘッダにオーダーIDを表示,module,Magento_Sales
Display Out of Stock Products,在庫切れ商品を表示する,module,Magento_CatalogInventory
Display Page Control,ページコントロールを表示,module,Magento_Catalog
Display Price Interval as One Price,価格範囲を1つの価格で表示する,module,Magento_LayeredNavigation
Display Prices,価格表示,module,Magento_Tax
Display Prices In Emails,メールに額を記載する,module,Magento_Weee
Display Prices In Product Lists,商品リストに価格を表示,module,Magento_Weee
Display Prices In Sales Modules,販売モジュールでの価格表示,module,Magento_Weee
Display Prices On Product View Page,商品ページでの価格表示,module,Magento_Weee
Display Printed Card Prices,ギフトカード価格を表示,,
Display Product Count,商品点数を表示,module,Magento_LayeredNavigation
Display Product Prices,商品価格を表示,,
Display Product Prices In Catalog,カタログに価格を表示する,module,Magento_Tax
Display Products Availability in Stock on Storefront,商品の在庫状況をストアフロントに表示,module,Magento_CatalogInventory
Display Settings,表示設定,module,Magento_Catalog
Display Shipping Amount,配送料を表示,module,Magento_Tax
Display Shipping Prices,配送料を表示,module,Magento_Tax
Display Shopping Cart Sidebar,ショッピングカートサイドバーを表示する,module,Magento_Checkout
Display Subtotal,小計を表示する,module,Magento_Tax
Display Type,表示方法,module,Magento_Catalog
Display Wish List Summary,お気に入りのサマリーの表示,module,Magento_Wishlist
Display Wish Lists Summary,お気に入りの要約を表示する,,
Display Zero Tax Subtotal,税の小計にゼロを表示,module,Magento_Tax
Display a Link to Loading a Spreadsheet,Display a Link to Loading a Spreadsheet,module,Magento_Widget
Display all instead of rotating,回転する代わりに全てを表示する,,
Display default currency,標準通貨の表示,module,Magento_Config
Display in Suggested Terms,おすすめのキーワードを表示,module,Magento_Search
Display item quantities,商品の見積もりを表示,module,Magento_Checkout
Display number of items in cart,カート内の商品数を表示,module,Magento_Checkout
Display number of items in wish list,お気に入りのアイテム数を表示,module,Magento_Wishlist
Display on Product Details Page,商品詳細ページに表示,module,Magento_Paypal
Display on Shopping Cart,ショッピングカートに表示,module,Magento_Braintree
Displayed Error Message,エラーメッセージ表示,module,Magento_Dhl
Displaying Mode,表示モード,module,Magento_Captcha
Displays on catalog pages and homepage.,カタログページとホームページに表示,module,Magento_Paypal
Dispute,意義申し立て,module,Magento_Paypal
Divide Order Weight,注文の重量を分割,module,Magento_Dhl
Divide to equal weight (one request),同じ重さで分割 (1リクエスト),module,Magento_Shipping
Do not change the scope. %1,スコープを変えないでください。 %1,module,Magento_Catalog
Do not rotate,ローテーションしない,,
Do not use two or more consecutive slashes in the request path.,リクエストパス内で２つ以上連続でスラッシュを使用しないでください。,module,Magento_UrlRewrite
Do not use two or more consecutive slashes in the url rewrite suffix.,URLリライトサフィックス内で２つ以上連続でスラッシュを使用しないでください,module,Magento_UrlRewrite
Do you have any gift items in your order?,ギフトにする商品がありますか？,module,Magento_GiftMessage
Do you really want to cancel the queue?,キューをキャンセルしてもよろしいですか？,module,Magento_Newsletter
Do you really want to delete this tax class?,この税クラスを削除しますか？,module,Magento_Tax
Do you really want to delete this tax rate?,本当にこの税レートを削除したいですか？,module,Magento_Tax
Documents,書類,module,Magento_Dhl
Does this have a weight?,重量がありますか?,module,Magento_Catalog
Domestic economy select,ドメスティックエコノミー選択,module,Magento_Dhl
Domestic express,ドメスティックエコノミー,module,Magento_Dhl
Don't have a PayPal account? Simply enter your email address.,PayPalアカウントをお持ちではないですか？ メールアドレスを入力してください,module,Magento_Paypal
Don't see what you're looking for?,お探しの商品が見つかりませんか？,module,Magento_CatalogSearch
Done,完了,,
Double click on a group to rename it.,名前変更する場合はグループをダブルクリックしてください。,module,Magento_Catalog
Download,ダウンロード,module,Magento_Backup
Download CSS File,CSSファイルをダウンロード,module,Magento_Theme
Download Sample File,サンプルファイルをダウンロード,module,Magento_ImportExport
Download full report,完全版レポートをダウンロード,module,Magento_ImportExport
Downloadable Information,ダウンロード情報,module,Magento_Downloadable
Downloadable Product Options,ダウンロード商品オプション,module,Magento_Downloadable
Downloadable Product Section,ダウンロード商品セクション,module,Magento_Downloadable
Downloadable Products,ダウンロード商品,module,Magento_Downloadable
Downloads,ダウンロード,module,Magento_Downloadable
Downloads Report,ダウンロードレポート,module,Magento_Reports
Draggable,ドラッグ可能,,
Drop Box,収荷ボックス,module,Magento_Fedex
Drop-down,ドロップダウン,module,Magento_Bundle
Dropdown,ドロップダウン,module,Magento_Catalog
Dropoff,収荷場所,module,Magento_Fedex
Duplicate Categories By URL Key,URLキーによるカテゴリの重複,,
Duplicate Of Template Name,テンプレート名の複製,module,Magento_Email
Duplicate Orders By Increment Id,増分IDで重複した注文,,
Duplicate Products By SKU,SKUによる商品の重複,,
Duplicate Products By URL Key,URLキーによる商品の重複,,
Duplicate Row #%1 (duplicates row #%2),重複行#%1（重複行#%2）,module,Magento_OfflineShipping
Duplicate Users By Email,電子メールによるユーザーの重複,,
Duplicate amount found.,重複した金額が見つかりました。,,
Duplicate template code,テンプレートコードを複製,module,Magento_Newsletter
Duration:,長さ:,module,Magento_ProductVideo
Dynamic,動的,module,Magento_Bundle
Dynamic Descriptors,動的記述子,,
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","例 {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}。 ダイナミックディレクティブはカタログのパフォーマンスに影響を及ぼします。",module,Magento_Catalog
EAV types and attributes,EAV定義,module,Magento_Eav
EFT Funding (German banking),EFTファンディング (ドイツ),module,Magento_Paypal
Each,毎回,,
"Each card has a balance of %balance that can be used at <a href=""%store_url"">%store_name</a>.","各カードには%balanceの残高があり、<a href=""%store_url"">%store_name</a>で使用できます。",,
Each color being on a separate row.,各色は別々の行にあります。,,
Each earned reward points award expires in %1 days.,得られた特典ポイントは、%1日で有効期限が切れます。,,
Earn %s for purchases your invitees make.,あなたの招待客が行う購入に対して%sを獲得します。,,
Earned points for order #%1,注文番号#%1の獲得ポイント,,
Earned promotion extra points from order #%1,注文番号#%1から追加ポイントを獲得しました,,
Easy shop,イージーショップ,module,Magento_Dhl
Economy select,エコノミー選択,module,Magento_Dhl
Edit,編集,module,Magento_Catalog
"Edit ""%1"" Integration","""%1""のインテグレーションを編集",module,Magento_Integration
Edit '%1' Gift Registry,'%1'ギフトレジストリを編集する,,
Edit '%1' Gift Registry Type,'%1'ギフトレジストリタイプを編集する,,
Edit Account Information,アカウント情報編集,module,Magento_Customer
Edit Address,住所を編集,module,Magento_Customer
Edit Attribute Set '%1',属性セット編集 '%1',module,Magento_Catalog
Edit Attribute Set Name,属性セット名を編集,module,Magento_Catalog
Edit Automated Email Reminder Rules,自動リマインダールールを編集,,
Edit Billing Address,請求先住所を編集,module,Magento_Multishipping
